timestamp,sp500,SPX,index fund,ETF
2025-04-01,19.0,9.0,4.0,43.0
2025-04-02,24.0,10.0,4.0,43.5
2025-04-03,37.333333333333336,11.666666666666666,4.666666666666667,49.0
2025-04-04,46.0,13.0,5.25,54.75
2025-04-05,41.4,12.6,5.0,51.6
2025-04-06,37.5,12.333333333333334,4.833333333333333,49.5
2025-04-07,46.42857142857143,13.428571428571429,5.285714285714286,56.142857142857146
2025-04-08,53.857142857142854,14.428571428571429,5.714285714285714,60.57142857142857
2025-04-09,63.285714285714285,15.571428571428571,6.142857142857143,65.71428571428571
2025-04-10,64.0,15.857142857142858,6.142857142857143,66.85714285714286
2025-04-11,60.57142857142857,15.428571428571429,5.857142857142857,64.28571428571429
2025-04-12,59.285714285714285,15.285714285714286,5.714285714285714,63.57142857142857
2025-04-13,58.142857142857146,14.857142857142858,5.571428571428571,62.42857142857143
2025-04-14,48.57142857142857,13.714285714285714,5.0,55.42857142857143
2025-04-15,42.42857142857143,13.0,4.571428571428571,51.42857142857143
2025-04-16,33.0,12.0,4.142857142857143,46.857142857142854
2025-04-17,26.714285714285715,11.285714285714286,3.857142857142857,43.42857142857143
2025-04-18,22.0,10.571428571428571,3.5714285714285716,39.857142857142854
2025-04-19,20.857142857142858,10.285714285714286,3.5714285714285716,38.142857142857146
2025-04-20,20.285714285714285,10.285714285714286,3.4285714285714284,37.142857142857146
2025-04-21,19.714285714285715,10.285714285714286,3.4285714285714284,36.57142857142857
2025-04-22,20.0,10.285714285714286,3.4285714285714284,37.0
2025-04-23,19.857142857142858,10.142857142857142,3.4285714285714284,36.57142857142857
2025-04-24,19.714285714285715,10.0,3.4285714285714284,36.142857142857146
2025-04-25,20.571428571428573,10.142857142857142,3.4285714285714284,37.714285714285715
2025-04-26,20.714285714285715,10.142857142857142,3.2857142857142856,38.142857142857146
2025-04-27,20.714285714285715,10.0,3.2857142857142856,38.57142857142857
2025-04-28,19.428571428571427,9.714285714285714,3.142857142857143,38.0
2025-04-29,18.0,9.571428571428571,3.142857142857143,36.57142857142857
2025-04-30,17.285714285714285,9.571428571428571,3.142857142857143,35.857142857142854
